sample_index,characteristic_physical_gate_error_rate,surface_code_cycle_time,heuristic_surface_code_physical_threshold_order_of_magnitude,naive_serial_time_days,code_distance_d,approximate_data_plane_physical_qubits,logical_qubits_at_n,logical_failure_proxy_union_depth_phenomenological,magic_limited_runtime_multiplier,ecdlp_toffoli_gates_upper_bound
168,0.0010380991951303778,0.6300403644035141,0.01325863772805873,0.0005104493693084026,19.0,1160000.0,1450.0,2.084870099755496e-05,,70000000.0
169,0.0016322216996965165,1.963555677612544,0.007847487515709706,0.0015908437202879406,23.0,1670400.0,1450.0,6.416533155938834e-05,,70000000.0
170,0.0013614510544767411,0.6179316253405664,0.01879849566820864,0.0005006390483083293,17.0,939600.0,1450.0,1.1938786188608908e-05,,70000000.0
171,0.0009272545231047502,1.7135344073301544,0.016202433128705417,0.0013882801911239675,17.0,939600.0,1450.0,4.548266514821719e-05,,70000000.0
172,0.0013084301147644171,0.6351043899132568,0.012090242923120179,0.000514552167753796,19.0,1160000.0,1450.0,5.244665255727107e-05,,70000000.0
173,0.001935910895208004,0.5125462128640531,0.005725425559801327,0.00041525734838522826,29.0,2610000.0,1450.0,1.5029739632263796e-05,,70000000.0
174,0.0017493842006873913,0.9261681297592007,0.015495521891883465,0.0007503676977215746,17.0,939600.0,1450.0,6.795355360563549e-05,,70000000.0
175,0.0008758125957664942,1.836753664266587,0.007851876848723486,0.001488110607623392,23.0,1670400.0,1450.0,6.37362183362243e-05,,70000000.0
176,0.0015791317613391114,0.9392105553668741,0.01826864419315573,0.0007609344777277916,17.0,939600.0,1450.0,1.5442271641930814e-05,,70000000.0
177,0.001979160254000555,1.5579741278087014,0.006486789151354284,0.0012622475572524202,27.0,2273600.0,1450.0,1.4984805158110683e-05,,70000000.0
178,0.001661820407288209,1.6272664263089693,0.007130622189184656,0.0013183871509447667,25.0,1960400.0,1450.0,2.8406092877406377e-05,,70000000.0
